predictor,B,SE,df,t,p_penalized,n_obs,n_unique_dyad,ROI,signal_type,stimulus,p_fdr,sig_uncorrected,sig_fdr
Loneliness,-0.0060145425318912414,0.013246104258304522,4463,-0.4540612405432699,0.6498289073145769,9118,4465,dmPFC,HbO,Zima,0.9456473427482726,FALSE,FALSE
MW_state,-0.04170051522198493,0.013081723459078126,4463,-3.1876927648280664,0.0014539746540001694,9118,4465,dmPFC,HbO,Zima,0.013085771886001525,TRUE,TRUE
MW_trait,-0.00969749382360214,0.013132408428778677,4463,-0.7384398586287354,0.46032485461370143,9118,4465,dmPFC,HbO,Zima,0.8285847383046626,FALSE,FALSE
PHQ9,-0.015184975377646138,0.013500913347691438,4463,-1.1247368964295044,0.26082150642844404,9118,4465,dmPFC,HbO,Zima,0.9586480050034798,FALSE,FALSE
GAD,-0.009310728173929562,0.013643482732245261,4463,-0.6824304583113822,0.4950376331066274,9118,4465,dmPFC,HbO,Zima,0.742556449659941,FALSE,FALSE
SIAS,-0.027913078596339028,0.013315717889759368,4463,-2.0962503732379276,0.0361723429066287,9118,4465,dmPFC,HbO,Zima,0.3255510861596583,TRUE,FALSE
AQ10,0.003565531137144168,0.013306249591271245,4463,0.26795913549398004,0.7887555395331881,9118,4465,dmPFC,HbO,Zima,0.8735881104796294,FALSE,FALSE
ASRS,-0.01111014365518233,0.013082451514949927,4463,-0.8492401934367004,0.3958387473896313,9118,4465,dmPFC,HbO,Zima,0.9077374018723218,FALSE,FALSE
WHO5,-0.030615483456269018,0.01289871468170888,4463,-2.3735297827529696,0.017703197901581764,9118,4465,dmPFC,HbO,Zima,0.05365683081799813,TRUE,FALSE
Mindwandering_Zima,-0.025897656122325276,0.013270481365169144,4461,-1.9515234910994645,0.05111981148516921,9114,4463,dmPFC,HbO,Zima,0.25559905742584604,FALSE,FALSE
Loneliness,0.0018096682486756922,0.013976434984386665,5150,0.12947996042605328,0.8969879933593485,10506,5152,dmPFC,HbO,Splitscreen,0.9456473427482726,FALSE,FALSE
MW_state,-0.0029263477751427674,0.014178546828847576,5150,-0.20639264449787195,0.8365005330583712,10506,5152,dmPFC,HbO,Splitscreen,0.8365005330583712,FALSE,FALSE
MW_trait,-0.015328550236414464,0.013882822448964128,5150,-1.1041378864251203,0.2696364941128697,10506,5152,dmPFC,HbO,Splitscreen,0.6066821117539569,FALSE,FALSE
PHQ9,-0.0032911805560357243,0.014308303579099063,5150,-0.23001892137956417,0.8180953370766483,10506,5152,dmPFC,HbO,Splitscreen,0.9586480050034798,FALSE,FALSE
GAD,-0.015221854944100067,0.014724248560729474,5150,-1.033795027387526,0.30132907600823133,10506,5152,dmPFC,HbO,Splitscreen,0.6166478644802098,FALSE,FALSE
SIAS,-0.005737937526107523,0.01420259110805546,5150,-0.4040063874579242,0.686241571634662,10506,5152,dmPFC,HbO,Splitscreen,0.8888714309100652,FALSE,FALSE
AQ10,-0.0022628427129215887,0.014221129913298432,5150,-0.15911834901427657,0.8735881104796294,10506,5152,dmPFC,HbO,Splitscreen,0.8735881104796294,FALSE,FALSE
