ROI,Signal_Type,Stimulus,Behavioral_Variable,Spearman_rho,p_value,n,p_fdr,sig_uncorrected,sig_fdr
dmPFC,HbO,Zima,MW_state_SART,-0.30479801379130944,0.002971807616218021,93,0.008915422848654063,TRUE,TRUE
dmPFC,HbO,Zima,MW_trait_total,-0.027701532930702755,0.7921024617855864,93,0.8661004331602489,FALSE,FALSE
dmPFC,HbO,Zima,Accuracy,-0.028044988240255708,0.7941796454622093,89,0.9415285667818696,FALSE,FALSE
dmPFC,HbO,Zima,MW_Ratio,-0.04489548006124159,0.6796735183487066,87,0.7707996635266474,FALSE,FALSE
dmPFC,HbO,Zima,Loneliness,0.010011312861464314,0.9241224322455578,93,0.9241224322455578,FALSE,FALSE
dmPFC,HbO,Zima,AQ10_scored,0.08726376925889447,0.40555121163476826,93,0.9195621051313181,FALSE,FALSE
dmPFC,HbO,Zima,PHQ9_total,-0.02697723907369616,0.7974202511665167,93,0.7974202511665167,FALSE,FALSE
dmPFC,HbO,Zima,GAD_total,-0.009802959789722001,0.9256970332600345,93,0.9608195413409205,FALSE,FALSE
dmPFC,HbO,Zima,SIAS_total,-0.07207242166113804,0.4923760413641648,93,0.7328000740371979,FALSE,FALSE
dmPFC,HbO,Zima,WHO_5_total,-0.06546121636326308,0.5330109518320343,93,0.7617060235060786,FALSE,FALSE
dmPFC,HbO,Zima,ASRS_total,-0.07082448139247523,0.49991914236291546,93,0.8154088202445868,FALSE,FALSE
dmPFC,HbO,Zima,Mindwandering_Zima,-0.21049401822423586,0.044008716147239085,92,0.11522864003510914,TRUE,FALSE
dmPFC,HbO,Splitscreen,MW_state_SART,0.022352266646394375,0.8244158000576045,101,0.8244158000576045,FALSE,FALSE
dmPFC,HbO,Splitscreen,MW_trait_total,0.13680038840839606,0.1725245522517639,101,0.5175736567552918,FALSE,FALSE
dmPFC,HbO,Splitscreen,Accuracy,-0.04651460516737366,0.6492464450077553,98,0.8532571657185084,FALSE,FALSE
dmPFC,HbO,Splitscreen,MW_Ratio,0.1286246880223627,0.21168484648236832,96,0.7340127548328927,FALSE,FALSE
dmPFC,HbO,Splitscreen,Loneliness,0.10053658225892727,0.3171455530240729,101,0.6342911060481458,FALSE,FALSE
dmPFC,HbO,Splitscreen,AQ10_scored,0.03429008228399587,0.7335389577865222,101,0.9678669433526481,FALSE,FALSE
dmPFC,HbO,Splitscreen,PHQ9_total,0.17285911988352007,0.0838758424936229,101,0.5032550549617374,FALSE,FALSE
dmPFC,HbO,Splitscreen,GAD_total,0.14636697609892202,0.14414210600283697,101,0.6726873818603045,FALSE,FALSE
dmPFC,HbO,Splitscreen,SIAS_total,0.059717770426994055,0.5530368412879604,101,0.8243908911790335,FALSE,FALSE
dmPFC,HbO,Splitscreen,WHO_5_total,-0.12557904296252032,0.2108232886024757,101,0.6699542569184906,FALSE,FALSE
dmPFC,HbO,Splitscreen,ASRS_total,0.17975194288388313,0.07206939380418599,101,0.10902866000969522,FALSE,FALSE
dmPFC,HbO,Splitscreen,Mindwandering_Splitscreen,0.05187464326352213,0.6119544383284969,98,0.9322352968241014,FALSE,FALSE
lTPJ,HbO,Zima,MW_state_SART,-0.06373029150006991,0.5529571905721322,89,0.5662450372204975,FALSE,FALSE
lTPJ,HbO,Zima,MW_trait_total,-0.048090866521354546,0.6544896677325343,89,0.8661004331602489,FALSE,FALSE
lTPJ,HbO,Zima,Accuracy,0.07391988180714286,0.503973618653,84,0.9415285667818696,FALSE,FALSE
lTPJ,HbO,Zima,MW_Ratio,0.13188960878816908,0.23754547523645894,82,0.7707996635266474,FALSE,FALSE
lTPJ,HbO,Zima,Loneliness,-0.0835952805042399,0.43606670750654875,89,0.9241224322455578,FALSE,FALSE
lTPJ,HbO,Zima,AQ10_scored,-0.08914069640519776,0.40613239296909864,89,0.9195621051313181,FALSE,FALSE
lTPJ,HbO,Zima,PHQ9_total,-0.08426186137613521,0.4324037709161357,89,0.7849220105121814,FALSE,FALSE
lTPJ,HbO,Zima,GAD_total,-0.11237520272462696,0.2944156163370183,89,0.9608195413409205,FALSE,FALSE
lTPJ,HbO,Zima,SIAS_total,-0.15891797861416157,0.1368812376869897,89,0.7328000740371979,FALSE,FALSE
lTPJ,HbO,Zima,WHO_5_total,0.07381510928279388,0.4917898922089855,89,0.7617060235060786,FALSE,FALSE
lTPJ,HbO,Zima,ASRS_total,0.08895742632983257,0.4071020020494197,89,0.8154088202445868,FALSE,FALSE
lTPJ,HbO,Zima,Mindwandering_Zima,-0.10782268117129899,0.3173477934167832,88,0.4760216901251748,FALSE,FALSE
lTPJ,HbO,Splitscreen,MW_state_SART,-0.06803812486556712,0.5169762869374593,93,0.6203715443249512,FALSE,FALSE
lTPJ,HbO,Splitscreen,MW_trait_total,-0.02106848386839875,0.8411275490265417,93,0.8411275490265417,FALSE,FALSE
lTPJ,HbO,Splitscreen,Accuracy,0.15030430737388523,0.1597468013722338,89,0.8406727699952581,FALSE,FALSE
lTPJ,HbO,Splitscreen,MW_Ratio,-0.0017597857751548566,0.9870933535038968,87,0.9870933535038968,FALSE,FALSE
lTPJ,HbO,Splitscreen,Loneliness,-0.10750499865067618,0.30503527094478267,93,0.6342911060481458,FALSE,FALSE
lTPJ,HbO,Splitscreen,AQ10_scored,-0.06459442960132387,0.5384595299817682,93,0.9678669433526481,FALSE,FALSE
lTPJ,HbO,Splitscreen,PHQ9_total,-0.01839780757297849,0.8610503694905397,93,0.9448941292253301,FALSE,FALSE
lTPJ,HbO,Splitscreen,GAD_total,-0.0930425283218344,0.3750462680296005,93,0.750092536059201,FALSE,FALSE
lTPJ,HbO,Splitscreen,SIAS_total,-0.06420766412794951,0.5408995512271557,93,0.8243908911790335,FALSE,FALSE
lTPJ,HbO,Splitscreen,WHO_5_total,0.06730017096106476,0.5215429261956491,93,0.7647991764744925,FALSE,FALSE
lTPJ,HbO,Splitscreen,ASRS_total,0.22046132070039687,0.03371204055709579,93,0.10113612167128738,TRUE,FALSE
lTPJ,HbO,Splitscreen,Mindwandering_Splitscreen,0.03277289559355457,0.7591118365514353,90,0.9322352968241014,FALSE,FALSE
ldlPFC,HbO,Zima,MW_state_SART,-0.2551986060939198,0.014084194635248274,92,0.028168389270496547,TRUE,TRUE
ldlPFC,HbO,Zima,MW_trait_total,0.06573362538704945,0.5335815251778195,92,0.8661004331602489,FALSE,FALSE
ldlPFC,HbO,Zima,Accuracy,0.17568943972083104,0.10358688924764149,87,0.621521335485849,FALSE,FALSE
ldlPFC,HbO,Zima,MW_Ratio,-0.07521915725781496,0.4938561118028647,85,0.7707996635266474,FALSE,FALSE
ldlPFC,HbO,Zima,Loneliness,-0.07235839382965087,0.493061713410211,92,0.9241224322455578,FALSE,FALSE
ldlPFC,HbO,Zima,AQ10_scored,-0.024140533301753735,0.8193234278975692,92,0.9195621051313181,FALSE,FALSE
ldlPFC,HbO,Zima,PHQ9_total,0.029127104503542785,0.7828430069002066,92,0.7974202511665167,FALSE,FALSE
ldlPFC,HbO,Zima,GAD_total,0.027386858035182135,0.7955252904481449,92,0.9608195413409205,FALSE,FALSE
ldlPFC,HbO,Zima,SIAS_total,-0.053776468830819386,0.6106667283643317,92,0.7328000740371979,FALSE,FALSE
ldlPFC,HbO,Zima,WHO_5_total,-0.05018174253770232,0.6347550195883989,92,0.7617060235060786,FALSE,FALSE
ldlPFC,HbO,Zima,ASRS_total,-0.025476729456425883,0.8095068997814567,92,0.8154088202445868,FALSE,FALSE
ldlPFC,HbO,Zima,Mindwandering_Zima,-0.1997799012738628,0.05761432001755457,91,0.11522864003510914,FALSE,FALSE
ldlPFC,HbO,Splitscreen,MW_state_SART,-0.16730114421538664,0.09447790725072046,101,0.3203744216071025,FALSE,FALSE
ldlPFC,HbO,Splitscreen,MW_trait_total,-0.06842408147500516,0.49657313574882633,101,0.8411275490265417,FALSE,FALSE
ldlPFC,HbO,Splitscreen,Accuracy,-0.03809361753592608,0.711047638098757,97,0.8532571657185084,FALSE,FALSE
ldlPFC,HbO,Splitscreen,MW_Ratio,0.018936805182091055,0.8554681210698057,95,0.9870933535038968,FALSE,FALSE
ldlPFC,HbO,Splitscreen,Loneliness,0.0799729811480477,0.4266199780322012,101,0.6399299670483019,FALSE,FALSE
ldlPFC,HbO,Splitscreen,AQ10_scored,-0.011259945647321482,0.911016848085064,101,0.9678669433526481,FALSE,FALSE
ldlPFC,HbO,Splitscreen,PHQ9_total,-0.006964297686262114,0.9448941292253301,101,0.9448941292253301,FALSE,FALSE
ldlPFC,HbO,Splitscreen,GAD_total,0.013194138962434685,0.895811191780423,101,0.895811191780423,FALSE,FALSE
ldlPFC,HbO,Splitscreen,SIAS_total,0.022355489355209014,0.8243908911790335,101,0.8243908911790335,FALSE,FALSE
ldlPFC,HbO,Splitscreen,WHO_5_total,-0.047473638982148285,0.637332647062077,101,0.7647991764744925,FALSE,FALSE
