ROI,Signal,Stimulus,Survey_Variable,High_ISC_Mean,Low_ISC_Mean,t_value,p_value,n
rdlPFC,HbO,Splitscreen,ASRS_total,33.94,28.215686274509803,2.990703219680688,0.0035682746768217395,101
vmPFC,HbR,Splitscreen,SIAS_total,27.15686274509804,19.759999999999998,2.9120563871705714,0.004475146523084092,101
vmPFC,HbO,Zima,MW_state_SART,2.2916666666666665,2.8,-2.7093221787927306,0.008205510741866474,93
ldlPFC,HbR,Zima,Extraversion,3.1630434782608696,3.619565217391304,-2.3499938571039545,0.020978117751460933,92
dmPFC,HbO,Zima,MW_state_SART,2.3125,2.7555555555555555,-2.345156027603572,0.02131052749083356,93
rdlPFC,HbO,Zima,Neuroticism,3.385416666666667,2.9456521739130435,2.336931222887894,0.021613820018652138,94
vmPFC,HbR,Splitscreen,ASRS_total,33.294117647058826,28.759999999999998,2.3311980166892297,0.021860327702521037,101
ldlPFC,HbO,Splitscreen,MW_state_SART,2.3,2.6666666666666665,-2.1311164396443267,0.03559616470751192,101
lTPJ,HbR,Zima,SIAS_total,21.065217391304348,26.558139534883722,-2.103622050359143,0.0383412796483272,89
rTPJ,HbO,Zima,Extraversion,3.577777777777778,3.159090909090909,2.090725446025572,0.03955313761670429,89
rTPJ,HbR,Zima,Loneliness,16.782608695652176,12.113636363636365,2.0895538977582926,0.039563895911465044,90
lTPJ,HbO,Zima,ASRS_total,33.2,29,2.0458129877100384,0.04384811223337019,89
ldlPFC,HbO,Zima,MW_state_SART,2.3260869565217392,2.6956521739130435,-2.0118695404073907,0.04741562318031164,92
rTPJ,HbR,Zima,MW_trait_total,20.67391304347826,18.886363636363637,2.0043364239857153,0.04811520726643964,90
