Outcome,ROI,Signal,Stimulus,Moderator,ISC_main,ISC_main_p,Moderator_main,Moderator_main_p,Interaction_beta,Interaction_p,R_squared,Adj_R_squared,n
MW_Ratio,rTPJ,HbR,Zima,SIAS_total,4.471112758422663,3.658039190681585e-4,-0.00289887893987507,0.1405563097017951,-0.39801217720800697,1.4146745008521464e-4,0.19254231762087254,0.16226265453165511,84
Accuracy,vmPFC,HbR,Zima,GAD_total,-9.284782902199666,0.6744700496380991,-0.14721394230990784,0.1343476289915202,-17.351389947979726,2.016912336822091e-4,0.1663755230879512,0.1366032203410923,88
MW_Ratio,rTPJ,HbR,Zima,Loneliness,4.77343020826871,4.4561208693226945e-4,-0.0029940925262604084,0.20151107264166476,-0.4405606092763861,3.1077921006821154e-4,0.17188994182499018,0.1408358146434272,84
Accuracy,rdlPFC,HbO,Splitscreen,PHQ9_total,-15.470343238064853,0.15517310383178418,-0.0808812330965181,0.40351663934160065,-9.153888995126279,3.579293946771426e-4,0.14253380993732376,0.11487361025788267,97
Accuracy,rTPJ,HbO,Zima,SIAS_total,6.369220123117139,0.6824506149746652,-0.027308342409420733,0.4707663473082109,-4.711471497818315,9.520718162840279e-4,0.12965418344898838,0.09741915320635841,85
MW_Ratio,rTPJ,HbR,Zima,GAD_total,5.081363566226707,0.0010462707909896106,6.733543227378317e-4,0.9049587484811048,-0.6036511267281001,0.0011168431561409235,0.14415156134801385,0.11205724489856428,84
MW_Ratio,rTPJ,HbR,Zima,PHQ9_total,4.573106782586769,0.0014995750987044042,0.006522189255995113,0.24981231141331153,-0.7305153744177525,0.001231984733952829,0.15337161648784903,0.12162305210614333,84
Accuracy,vmPFC,HbR,Zima,PHQ9_total,-12.692976118590305,0.5796304669599965,-0.04545793093125619,0.6552996080396704,-15.488573592011678,0.0013536773258041592,0.11806981239799272,0.08657230569792096,88
Accuracy,lTPJ,HbO,Zima,SIAS_total,15.196630601440082,0.34175683798200207,-0.02005608177466622,0.6080569025745028,-3.9171456016207027,0.0014561053800426296,0.13066902921114382,0.09806911780656169,84
Accuracy,ldlPFC,HbO,Zima,SIAS_total,20.76368633809456,0.17260133200818156,-0.018187281026037925,0.6153109688227221,-3.4641653829540515,0.0025127168446354943,0.1242098848953973,0.09255482049402608,87
Accuracy,rdlPFC,HbO,Splitscreen,GAD_total,-5.628987628692569,0.6008240878558866,-0.20194359733921968,0.039196954187277144,-6.205646034639554,0.0037732771377364544,0.12041771594754283,0.0920440938813345,97
Mindwandering_Splitscreen,ldlPFC,HbO,Splitscreen,MW_state_SART,2.609507676702435,0.1203549834636815,0.403699506085504,7.79094785528973e-5,5.345944587970151,0.004828696275567515,0.21627376206923085,0.19126122256080214,98
Mindwandering_Splitscreen,rTPJ,HbR,Splitscreen,MW_trait_total,-1.966474249783762,0.5233095869176316,0.04999337924349343,0.025142150987862395,1.9470335811086856,0.005241060542670051,0.16995878103887538,0.14229074040683787,94
Accuracy,rdlPFC,HbO,Splitscreen,Loneliness,-17.494110617739107,0.12893495173346095,0.04383919182009169,0.2761616617149428,-2.909963436385491,0.005933278138774501,0.08679129965758696,0.057332954485251,97
Accuracy,dmPFC,HbO,Zima,Extraversion,2.1570282743638933,0.8664664857124764,0.682891031882987,0.15510286949221194,42.94089956279246,0.006369426085861824,0.09451810773181145,0.06255992329881643,89
Mindwandering_Splitscreen,dmPFC,HbO,Splitscreen,MW_state_SART,3.1261647651867093,0.09036395961808713,0.3419859815684515,4.3107223745663954e-4,5.4575683333933,0.00704690861607574,0.2226980161308939,0.19789050600741176,98
MW_Ratio,rTPJ,HbR,Zima,Neuroticism,4.048335465171391,0.00669337681056571,0.015646427497065293,0.571247256977204,-3.260167973809921,0.007363243719615613,0.11584136242481459,0.0826854135157451,84
Accuracy,rdlPFC,HbO,Zima,Loneliness,14.812259495219259,0.25170371235247224,0.015622544816619512,0.7022082514246116,-2.9775551853588125,0.007478482238062647,0.08409134483382294,0.05176515700442841,89
Accuracy,vmPFC,HbR,Zima,SIAS_total,-5.801450045797482,0.8022289751050251,-0.007941568420333589,0.8246857469542349,-5.629624669322515,0.007697123370873914,0.0816677465770001,0.04887016609760719,88
Accuracy,rdlPFC,HbO,Zima,SIAS_total,14.679454519620494,0.256492866487279,-0.029616866212432306,0.4230144360745519,-2.632565906272589,0.007988130571351516,0.07992972934547042,0.04745666096942802,89
Accuracy,dmPFC,HbR,Zima,MW_trait_total,84.32706160304271,0.025175505690254497,0.15142947128320502,0.13454583753692945,-18.73117192217281,0.009984562842614213,0.08905283536279147,0.056901758963831095,89
Accuracy,rTPJ,HbO,Zima,Loneliness,12.890334919699646,0.4198078065499652,0.034535779894303835,0.4103317331121471,-3.883829267408447,0.010251255101326625,0.08489427727532167,0.05100147272996325,85
Accuracy,lTPJ,HbO,Zima,Loneliness,18.729906361570272,0.23585692932245755,0.03868270400899508,0.3874923527642542,-3.836989498701868,0.01085544000404593,0.10964324040853407,0.07625486192385411,84
MW_Ratio,ldlPFC,HbO,Zima,MW_state_SART,0.0015065135735222897,0.9986756784524984,0.12172710965828148,1.9922591464470498e-4,2.865729309922317,0.010856044447386262,0.1779905542542673,0.14754575996738828,85
Accuracy,rTPJ,HbO,Zima,GAD_total,9.78798027157149,0.5396177291466306,-0.0901333219826085,0.38704343782356054,-8.773478546190425,0.011243294916058714,0.08836190517592242,0.05459753129354927,85
Accuracy,lTPJ,HbO,Splitscreen,GAD_total,16.160477646170417,0.2660391451257568,-0.11965363718142984,0.25300852528304085,-8.33647701366516,0.012042893872686427,0.10390173086027558,0.07227473312593224,89
Accuracy,lTPJ,HbO,Splitscreen,PHQ9_total,8.466530008547316,0.5830285024817665,-0.06653258138015644,0.5397925170863218,-9.082111770495185,0.01322344280936104,0.0950787734930229,0.06314037726336486,89
Mindwandering_Zima,lTPJ,HbR,Splitscreen,Extraversion,-0.6253474738139992,0.8866918983467932,0.007153534651366413,0.940636031149985,11.932524119491939,0.014426694573645017,0.06558947669473532,0.034092492763097115,93
Accuracy,ldlPFC,HbO,Zima,Extraversion,20.292877374519026,0.1866723294729468,0.5178072791891026,0.2716558984810914,35.064478605435966,0.014903240293020792,0.09409227514202564,0.06134862243631578,87
Mindwandering_Zima,rTPJ,HbR,Zima,MW_state_SART,8.474271885097288,0.07600570259954716,0.6576567782934967,2.3714977899320224e-10,17.105419251116405,0.016108083451465634,0.38398624835015077,0.3622445865272149,89
