subject,channel,mean_isc_z,signal_type,stimulus
2,dmPFC,0.042588194347472005,HbO,Zima
2,lTPJ,0.012770465468794632,HbO,Zima
2,ldlPFC,0.02629773736773186,HbO,Zima
2,rTPJ,0.007969645685811556,HbO,Zima
2,rdlPFC,0.02424098744497256,HbO,Zima
2,vmPFC,0.025626400458860527,HbO,Zima
3,dmPFC,-0.006843727391757759,HbO,Zima
3,lTPJ,-0.015709225250946268,HbO,Zima
3,ldlPFC,-0.0011878671549489523,HbO,Zima
3,rTPJ,-0.003841601037352412,HbO,Zima
3,rdlPFC,0.028583937678564077,HbO,Zima
3,vmPFC,0.028774008223640082,HbO,Zima
4,dmPFC,0.07048074696382137,HbO,Zima
4,lTPJ,0.07259592135019566,HbO,Zima
4,ldlPFC,0.042702643232023066,HbO,Zima
4,rTPJ,0.061596671923575,HbO,Zima
4,rdlPFC,0.03126583355222439,HbO,Zima
4,vmPFC,0.07057279130112201,HbO,Zima
5,dmPFC,0.05462917314242636,HbO,Zima
5,lTPJ,0.073070549447982,HbO,Zima
5,ldlPFC,0.075648639141955007,HbO,Zima
5,rTPJ,0.07628146247301144,HbO,Zima
5,rdlPFC,0.06798317193977256,HbO,Zima
5,vmPFC,0.060325807900573694,HbO,Zima
51,dmPFC,0.03187817527762939,HbO,Zima
51,lTPJ,0.03371379672864596,HbO,Zima
51,ldlPFC,0.006229176493385422,HbO,Zima
51,rTPJ,0.037970861769679724,HbO,Zima
51,rdlPFC,0.021396935516341895,HbO,Zima
51,vmPFC,0.031534523946707575,HbO,Zima
54,dmPFC,0.027192061648621233,HbO,Zima
54,lTPJ,0.03874084707756338,HbO,Zima
54,ldlPFC,0.03830660030516257,HbO,Zima
54,rTPJ,0.02919670427380319,HbO,Zima
54,rdlPFC,0.039540043685047085,HbO,Zima
54,vmPFC,0.03131664799223272,HbO,Zima
55,dmPFC,0.02566438952000936,HbO,Zima
55,ldlPFC,0.014074843986520135,HbO,Zima
55,rdlPFC,0.0096707421284114,HbO,Zima
55,vmPFC,0.04179496774044185,HbO,Zima
56,dmPFC,0.07982719061338449,HbO,Zima
56,lTPJ,0.09045774715676055,HbO,Zima
56,ldlPFC,0.08142947425499025,HbO,Zima
56,rTPJ,0.0909811743481031,HbO,Zima
56,rdlPFC,0.10002303076575637,HbO,Zima
56,vmPFC,-0.05329001591572647,HbO,Zima
57,dmPFC,0.04573470336084207,HbO,Zima
57,lTPJ,0.007958700246647141,HbO,Zima
57,ldlPFC,0.040572015797470835,HbO,Zima
57,rTPJ,0.046101003495165785,HbO,Zima
57,rdlPFC,0.00664468215623632,HbO,Zima
57,vmPFC,-0.005904180288979284,HbO,Zima
6,dmPFC,0.10730494357741165,HbO,Zima
6,lTPJ,0.08004275784732567,HbO,Zima
6,ldlPFC,0.11729928489838046,HbO,Zima
6,rTPJ,0.10180518469411973,HbO,Zima
6,rdlPFC,0.12040934174642566,HbO,Zima
6,vmPFC,0.0481843522865837,HbO,Zima
60,dmPFC,0.004561358211384435,HbO,Zima
60,lTPJ,-0.017589003921811213,HbO,Zima
60,ldlPFC,-0.010242858734577658,HbO,Zima
60,rTPJ,6.775561612480519e-4,HbO,Zima
60,rdlPFC,-0.009254035901340947,HbO,Zima
60,vmPFC,0.04235219034455533,HbO,Zima
61,dmPFC,0.08029943011234025,HbO,Zima
61,lTPJ,0.059267811425004854,HbO,Zima
61,ldlPFC,0.06584906723228307,HbO,Zima
61,rTPJ,0.06452872716571859,HbO,Zima
61,rdlPFC,0.07856852425385223,HbO,Zima
61,vmPFC,0.092982366315498,HbO,Zima
62,dmPFC,0.018515652099351226,HbO,Zima
62,lTPJ,-0.005255435883140854,HbO,Zima
62,ldlPFC,0.006702390630648555,HbO,Zima
62,rTPJ,-0.018725893997837903,HbO,Zima
62,rdlPFC,-0.003992869077128517,HbO,Zima
62,vmPFC,-0.010089190603254226,HbO,Zima
67,dmPFC,0.05744128994833081,HbO,Zima
67,lTPJ,0.0340265068825177,HbO,Zima
67,ldlPFC,0.06134280154252207,HbO,Zima
67,rTPJ,0.05407891205853158,HbO,Zima
67,rdlPFC,0.07081824897264229,HbO,Zima
67,vmPFC,0.0887470207043725,HbO,Zima
68,dmPFC,0.06214178260468358,HbO,Zima
68,lTPJ,0.03765798011071039,HbO,Zima
68,ldlPFC,0.0445664128740639,HbO,Zima
68,rTPJ,0.07155135818086202,HbO,Zima
68,rdlPFC,0.058817676666065376,HbO,Zima
68,vmPFC,0.05828748899465632,HbO,Zima
7,dmPFC,0.019186667129921404,HbO,Zima
7,lTPJ,0.00925233757885073,HbO,Zima
7,ldlPFC,-0.028210833554698844,HbO,Zima
7,rTPJ,0.004058129662857168,HbO,Zima
7,rdlPFC,-0.009783186545638043,HbO,Zima
7,vmPFC,0.029690680114779645,HbO,Zima
72,dmPFC,0.056363864965170325,HbO,Zima
72,lTPJ,0.07007735245505974,HbO,Zima
72,ldlPFC,0.07134793093304795,HbO,Zima
72,rTPJ,0.044494330924800936,HbO,Zima
72,rdlPFC,0.0720230693696569,HbO,Zima
72,vmPFC,0.10623875151728199,HbO,Zima
78,dmPFC,0.0470515306859678,HbO,Zima
78,lTPJ,0.05942277338396713,HbO,Zima
78,ldlPFC,0.03901199039319958,HbO,Zima
78,rTPJ,0.06481564154950868,HbO,Zima
78,rdlPFC,0.053440633396882355,HbO,Zima
78,vmPFC,0.03564791196097451,HbO,Zima
79,dmPFC,0.05472434321530262,HbO,Zima
79,lTPJ,0.059241119883843583,HbO,Zima
79,ldlPFC,0.05193322182546087,HbO,Zima
79,rTPJ,0.07085512616566769,HbO,Zima
79,rdlPFC,0.04345581453820409,HbO,Zima
79,vmPFC,0.03316036874404546,HbO,Zima
8,dmPFC,0.06619434926313827,HbO,Zima
8,lTPJ,0.06804835844325735,HbO,Zima
8,ldlPFC,0.07604061560522221,HbO,Zima
8,rTPJ,0.06551434763044942,HbO,Zima
8,rdlPFC,0.0390520070746683,HbO,Zima
8,vmPFC,0.05377917951705857,HbO,Zima
